id,name,type,theme,description,price,originalprice,isonsale,size,tags,images
jar-romantic,Romantic Jar,jar,Romantic,"A jar filled with romantic notes and keepsakes.",39.99,,TRUE,,romantic|jar|gift,"{https://images.unsplash.com/photo-1518895949257-7621c3c786d7?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
jar-birthday,Birthday Jar,jar,Birthday,"A special jar for birthdays, filled with cheerful notes.",34.99,,,,birthday|jar|gift,"{https://images.unsplash.com/photo-1563241527-3004b7be0ffd?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1464983953574-0892a716854b?auto=format&fit=crop&w=400&q=80}"
jar-anniversary,Anniversary Jar,jar,Anniversary,"Celebrate anniversaries with heartfelt messages in a jar.",44.99,,,,anniversary|jar|gift,"{https://images.unsplash.com/photo-1455659817273-f2fd6aaa3e8d?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
jar-apology,Apology Jar,jar,Apology,"A thoughtful jar to say 'I'm sorry' with meaningful notes.",32.99,,,,apology|jar|gift,"{https://images.unsplash.com/photo-1499002238440-d264edd596ec?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
card-romantic,Romantic Card,card,Romantic,"A romantic card for special occasions.",7.99,,,,romantic|card,"{https://images.unsplash.com/photo-1520763185298-1b434c919102?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
card-birthday,Birthday Card,card,Birthday,"A cheerful birthday card.",6.99,,,,birthday|card,"{https://images.unsplash.com/photo-1487070183336-b863922373d4?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
card-anniversary,Anniversary Card,card,Anniversary,"A card to celebrate anniversaries.",8.99,,,,anniversary|card,"{https://images.unsplash.com/photo-1518895949257-7621c3c786d7?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
card-apology,Apology Card,card,Apology,"A card to say 'I'm sorry' in a heartfelt way.",6.49,,,,apology|card,"{https://images.unsplash.com/photo-1563241527-3004b7be0ffd?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
card-custom,Custom Card,card,Custom,"A card you can personalize with your own message and design.",12.99,,,,custom|card,"{https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
jar-custom,Custom Jar,jar,Custom,"A jar you can personalize with your own notes and theme.",54.99,,,,custom|jar,"{https://images.unsplash.com/photo-1464983953574-0892a716854b?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
rose-glitter,Individual Glitter Rose,flower_stem,,"A single rose stem with a touch of glitter.",9.99,,,,rose|glitter|flower_stem,"{https://images.unsplash.com/photo-1455659817273-f2fd6aaa3e8d?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
bouquet-regular,Regular Bouquet,bouquet,,"A beautiful regular-sized bouquet.",49.99,,,,bouquet|regular,"{https://images.unsplash.com/photo-1499002238440-d264edd596ec?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
bouquet-mega,Mega Bouquet,bouquet,,"A large, impressive bouquet for special occasions.",79.99,,,,bouquet|mega,"{https://images.unsplash.com/photo-1520763185298-1b434c919102?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
bouquet-super,Super Big Bouquet,bouquet,,"Our biggest bouquet, overflowing with flowers!",119.99,,,,bouquet|super,"{https://images.unsplash.com/photo-1487070183336-b863922373d4?auto=format&fit=crop&w=400&q=80,https://images.unsplash.com/photo-1506744038136-46273834b3fb?auto=format&fit=crop&w=400&q=80}"
